dates,store,link,asin,category
20-12-23,amazon,https://www.amazon.com/dp/B08NYNJ6RC,B08NYNJ6RC,rtx3060ti
20-12-24,amazon,https://www.amazon.com/dp/B08NYNJ6RC,B08NYNJ6RC,rtx3060ti
20-12-30,amazon,https://www.amazon.com/dp/B08NYP7KG6,B08NYP7KG6,rtx3060ti
21-01-05,amazon,https://www.amazon.com/dp/B08NYNJ6RC,B08NYNJ6RC,rtx3060ti
21-01-11,amazon,https://www.amazon.com/dp/B083Z5P6TX,B083Z5P6TX,rtx3060ti
21-02-03,amazon,https://www.amazon.com/dp/B08P2H5LW2/?tag=data20-20#aod,B08P2H5LW2,rtx3060ti
21-02-03,amazon,https://www.amazon.com/dp/B08P2H5LW2/?tag=data20-20#aod,B08P2H5LW2,rtx3060ti
21-02-03,amazon,https://www.amazon.com/dp/B08P2H5LW2/?tag=data20-20#aod,B08P2H5LW2,rtx3060ti
21-02-03,amazon,https://www.amazon.com/dp/B08P2H5LW2/?tag=data20-20#aod,B08P2H5LW2,rtx3060ti
21-02-03,amazon,https://www.amazon.com/dp/B08P2H5LW2/?tag=data20-20#aod,B08P2H5LW2,rtx3060ti
21-02-09,amazon,https://amazon.com/dp/B08P2H5LW2?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P2H5LW2,rtx3060ti
21-02-21,amazon,https://amazon.com/dp/B08P2H5LW2?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P2H5LW2,rtx3060ti
21-02-24,amazon,https://amazon.com/dp/B083Z5P6TX?smid=ATVPDKIKX0DER&tag=data20-20#aod,B083Z5P6TX,rtx3060ti
21-02-24,amazon,https://amazon.com/dp/B083Z5P6TX?smid=ATVPDKIKX0DER&tag=data20-20#aod,B083Z5P6TX,rtx3060ti
21-02-24,amazon,https://amazon.com/dp/B08P3V572B?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08P3V572B,rtx3060ti
21-02-25,amazon,https://amazon.com/dp/B08QZ5GJ52?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08QZ5GJ52,rtx3060ti
21-02-25,amazon,https://amazon.com/dp/B08NW5HNYW?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08NW5HNYW,rtx3060ti
21-02-27,amazon,https://amazon.com/dp/B083Z5P6TX?smid=ATVPDKIKX0DER&tag=data20-20#aod,B083Z5P6TX,rtx3060ti
21-02-27,amazon,https://amazon.com/dp/B083Z5P6TX?smid=ATVPDKIKX0DER&tag=data20-20#aod,B083Z5P6TX,rtx3060ti
