dates,store,link,asin,category
20-12-20,amazon,https://www.amazon.com/dp/B08KWLMZV4,B08KWLMZV4,rtx3070
21-01-08,amazon,https://www.amazon.com/dp/B08HBF5L3K,B08HBF5L3K,rtx3070
21-01-26,amazon,https://www.amazon.com/gp/offer-listing/B08LW46GH2,B08LW46GH2,rtx3070
21-01-29,amazon,https://www.amazon.com/dp/B08L8LG4M3#aod,B08L8LG4M3,rtx3070
21-01-29,amazon,https://www.amazon.com/dp/B08HBF5L3K#aod,B08HBF5L3K,rtx3070
21-02-01,amazon,https://www.amazon.com/dp/B08L8L71SM/?tag=data20-20,B08L8L71SM,rtx3070
21-02-03,amazon,https://www.amazon.com/dp/B08L8KC1J7/?tag=data20-20,B08L8KC1J7,rtx3070
21-02-03,amazon,https://www.amazon.com/dp/B08L8L71SM/?tag=data20-20,B08L8L71SM,rtx3070
21-02-03,amazon,https://www.amazon.com/dp/B08L8L71SM/?tag=data20-20#aod,B08L8L71SM,rtx3070
21-02-03,amazon,https://www.amazon.com/dp/B08L8LG4M3/?tag=data20-20#aod,B08L8LG4M3,rtx3070
21-02-03,amazon,https://www.amazon.com/dp/B08L8L71SM/?tag=data20-20#aod,B08L8L71SM,rtx3070
21-02-03,amazon,https://www.amazon.com/dp/B08L8KC1J7/?tag=data20-20#aod,B08L8KC1J7,rtx3070
21-02-03,amazon,https://www.amazon.com/dp/B08L8KC1J7/?tag=data20-20#aod,B08L8KC1J7,rtx3070
21-02-03,amazon,https://www.amazon.com/dp/B08L8JNTXQ/?tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-04,amazon,https://www.amazon.com/dp/B08L8L71SM/?tag=data20-20#aod,B08L8L71SM,rtx3070
21-02-04,amazon,https://www.amazon.com/dp/B08L8L71SM/?tag=data20-20#aod,B08L8L71SM,rtx3070
21-02-04,amazon,https://www.amazon.com/dp/B08HBJB7YD/?tag=data20-20#aod,B08HBJB7YD,rtx3070
21-02-04,amazon,https://www.amazon.com/dp/B08HBF5L3K/?tag=data20-20#aod,B08HBF5L3K,rtx3070
21-02-04,amazon,https://www.amazon.com/dp/B08L8LG4M3/?tag=data20-20#aod,B08L8LG4M3,rtx3070
21-02-04,amazon,https://www.amazon.com/dp/B08L8L71SM/?tag=data20-20#aod,B08L8L71SM,rtx3070
21-02-04,amazon,https://www.amazon.com/dp/B08HBF5L3K/?tag=data20-20#aod,B08HBF5L3K,rtx3070
21-02-04,amazon,https://www.amazon.com/dp/B08L8KC1J7/?tag=data20-20#aod,B08L8KC1J7,rtx3070
21-02-04,amazon,https://www.amazon.com/dp/B08L8KC1J7/?tag=data20-20#aod,B08L8KC1J7,rtx3070
21-02-04,amazon,https://www.amazon.com/dp/B08L8L9TCZ/?tag=data20-20#aod,B08L8L9TCZ,rtx3070
21-02-04,amazon,https://www.amazon.com/dp/B08L8L71SM/?tag=data20-20#aod,B08L8L71SM,rtx3070
21-02-04,amazon,https://www.amazon.com/dp/B08L8L71SM/?tag=data20-20#aod,B08L8L71SM,rtx3070
21-02-05,amazon,https://www.amazon.com/dp/B08L8L9TCZ/?tag=data20-20#aod,B08L8L9TCZ,rtx3070
21-02-05,amazon,https://www.amazon.com/dp/B08LW46GH2/?tag=data20-20#aod,B08LW46GH2,rtx3070
21-02-05,amazon,https://www.amazon.com/dp/B08LW46GH2/?tag=data20-20#aod,B08LW46GH2,rtx3070
21-02-05,amazon,https://www.amazon.com/dp/B08L8L9TCZ/?tag=data20-20#aod,B08L8L9TCZ,rtx3070
21-02-06,amazon,https://www.amazon.com/dp/B08LF1CWT2/?tag=data20-20#aod,B08LF1CWT2,rtx3070
21-02-06,amazon,https://www.amazon.com/dp/B08LF1CWT2/?tag=data20-20#aod,B08LF1CWT2,rtx3070
21-02-06,amazon,https://www.amazon.com/dp/B08L8KC1J7/?tag=data20-20#aod,B08L8KC1J7,rtx3070
21-02-06,amazon,https://www.amazon.com/dp/B08M13DXSZ/?tag=data20-20#aod,B08M13DXSZ,rtx3070
21-02-06,amazon,https://www.amazon.com/dp/B08LW46GH2/?tag=data20-20#aod,B08LW46GH2,rtx3070
21-02-06,amazon,https://www.amazon.com/dp/B08L8L9TCZ/?tag=data20-20#aod,B08L8L9TCZ,rtx3070
21-02-07,amazon,https://amazon.com/gp/aw/ol/B08HBJB7YD?ref_=olp_f_sm&condition=new&pldnSite=1&tag=data20-20,B08HBJB7YD,rtx3070
21-02-07,amazon,https://amazon.com/gp/aw/ol/B08HBJB7YD?ref_=olp_f_sm&condition=new&pldnSite=1&tag=data20-20,B08HBJB7YD,rtx3070
21-02-08,amazon,https://amazon.com/dp/B08LF1CWT2?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08LF1CWT2,rtx3070
21-02-08,amazon,https://amazon.com/dp/B08L8L9TCZ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8L9TCZ,rtx3070
21-02-09,amazon,https://amazon.com/dp/B08LF1CWT2?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08LF1CWT2,rtx3070
21-02-09,amazon,https://amazon.com/dp/B08L8L9TCZ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8L9TCZ,rtx3070
21-02-09,amazon,https://amazon.com/dp/B08LW46GH2?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08LW46GH2,rtx3070
21-02-09,amazon,https://amazon.com/dp/B08LW46GH2?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08LW46GH2,rtx3070
21-02-10,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-11,amazon,https://amazon.com/dp/B08LF1CWT2?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08LF1CWT2,rtx3070
21-02-11,amazon,https://amazon.com/dp/B08R81G1B6?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08R81G1B6,rtx3070
21-02-11,amazon,https://amazon.com/dp/B08R81G1B6?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08R81G1B6,rtx3070
21-02-14,amazon,https://www.amazon.com/dp/B08L8L71SM?tag=data20-20&linkCode=ogi&th=1&psc=1,B08L8L71SM,rtx3070
21-02-15,amazon,https://www.amazon.com/dp/B08KWLMZV4?tag=data20-20&linkCode=ogi&th=1&psc=1,B08KWLMZV4,rtx3070
21-02-15,amazon,https://www.amazon.com/dp/B08KWLMZV4?tag=data20-20&linkCode=ogi&th=1&psc=1,B08KWLMZV4,rtx3070
21-02-15,amazon,https://amazon.com/dp/B08MT6B58K?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08MT6B58K,rtx3070
21-02-15,amazon,https://amazon.com/dp/B08MT6B58K?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08MT6B58K,rtx3070
21-02-15,amazon,https://amazon.com/dp/B08MT6B58K?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08MT6B58K,rtx3070
21-02-16,amazon,https://amazon.com/dp/B08LW46GH2?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08LW46GH2,rtx3070
21-02-16,amazon,https://amazon.com/dp/B08L8L9TCZ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8L9TCZ,rtx3070
21-02-16,amazon,https://amazon.com/dp/B08LW46GH2?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08LW46GH2,rtx3070
21-02-16,amazon,https://amazon.com/dp/B08L8L9TCZ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8L9TCZ,rtx3070
21-02-16,amazon,https://www.amazon.com/dp/B08L8L9TCZ?tag=data20-20&linkCode=ogi&th=1&psc=1&smid=ATVPDKIKX0DER,B08L8L9TCZ,rtx3070
21-02-23,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-24,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-25,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-25,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-25,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-25,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-25,amazon,https://amazon.com/dp/B08R15HVJ3?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08R15HVJ3,rtx3070
21-02-26,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-26,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-26,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-26,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-26,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-26,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-26,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-26,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-26,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-26,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-26,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8KC1J7?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8KC1J7,rtx3070
21-02-27,amazon,https://amazon.com/dp/B08L8KC1J7?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8KC1J7,rtx3070
21-02-28,amazon,https://amazon.com/dp/B08L8KC1J7?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8KC1J7,rtx3070
21-02-28,amazon,https://amazon.com/dp/B08L8KC1J7?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8KC1J7,rtx3070
21-02-28,amazon,https://amazon.com/dp/B08L8LG4M3?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8LG4M3,rtx3070
21-02-28,amazon,https://amazon.com/dp/B08L8KC1J7?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8KC1J7,rtx3070
21-02-28,amazon,https://amazon.com/dp/B08L8KC1J7?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8KC1J7,rtx3070
21-02-28,amazon,https://amazon.com/dp/B08L8KC1J7?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8KC1J7,rtx3070
21-02-28,amazon,https://amazon.com/dp/B08L8KC1J7?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8KC1J7,rtx3070
21-02-28,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
21-02-28,amazon,https://amazon.com/dp/B08L8JNTXQ?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08L8JNTXQ,rtx3070
