dates,store,link,asin,category
21-01-07,amazon,https://www.amazon.com/dp/B08MNZM5TK,B08MNZM5TK,rx6800
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08NXYBVDB,B08NXYBVDB,rx6800
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08NXYBVDB,B08NXYBVDB,rx6800
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08NXYBVDB,B08NXYBVDB,rx6800
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08NXYBVDB,B08NXYBVDB,rx6800
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08P5YFZCY,B08P5YFZCY,rx6800
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08NXZSPMY,B08NXZSPMY,rx6800
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08P5YFZCY,B08P5YFZCY,rx6800
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08P5YFZCY,B08P5YFZCY,rx6800
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08P5YFZCY,B08P5YFZCY,rx6800
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08P5YFZCY,B08P5YFZCY,rx6800
21-01-24,amazon,https://www.amazon.com/gp/offer-listing/B08P5YFZCY,B08P5YFZCY,rx6800
21-01-25,amazon,https://www.amazon.com/gp/offer-listing/B08NXYBVDB,B08NXYBVDB,rx6800
21-01-25,amazon,https://www.amazon.com/gp/offer-listing/B08NXYBVDB,B08NXYBVDB,rx6800
21-01-25,amazon,https://www.amazon.com/gp/offer-listing/B08P3YT3MY,B08P3YT3MY,rx6800
21-01-25,amazon,https://www.amazon.com/gp/offer-listing/B08P5YFZCY,B08P5YFZCY,rx6800
21-01-26,amazon,https://www.amazon.com/gp/offer-listing/B08NXYBVDB,B08NXYBVDB,rx6800
21-01-26,amazon,https://www.amazon.com/gp/offer-listing/B08P5YFZCY,B08P5YFZCY,rx6800
