dates,store,link,asin,category
21-02-08,amazon,https://amazon.com/dp/B08R81J62G?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08R81J62G,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08Q9SCPGD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q9SCPGD,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08R81J62G?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08R81J62G,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-09,amazon,https://amazon.com/dp/B08Q9SCPGD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q9SCPGD,rx6900xt
21-02-10,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-10,amazon,https://amazon.com/dp/B08Q9SCPGD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q9SCPGD,rx6900xt
21-02-11,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-11,amazon,https://amazon.com/dp/B08R81J62G?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08R81J62G,rx6900xt
21-02-11,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-11,amazon,https://amazon.com/dp/B08Q9SCPGD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q9SCPGD,rx6900xt
21-02-12,amazon,https://amazon.com/dp/B08Q2R71CS?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q2R71CS,rx6900xt
21-02-14,amazon,https://www.amazon.com/dp/B08Q9SCPGD?tag=data20-20&linkCode=ogi&th=1&psc=1,B08Q9SCPGD,rx6900xt
21-02-15,amazon,https://www.amazon.com/dp/B08Q9SCPGD?tag=data20-20&linkCode=ogi&th=1&psc=1,B08Q9SCPGD,rx6900xt
21-02-15,amazon,https://amazon.com/dp/B08Q9SCPGD?smid=ATVPDKIKX0DER&tag=data20-20#aod,B08Q9SCPGD,rx6900xt
21-02-15,amazon,https://www.amazon.com/dp/B08Q9SCPGD?tag=data20-20&linkCode=ogi&th=1&psc=1&smid=ATVPDKIKX0DER,B08Q9SCPGD,rx6900xt
